,Status,Reference,Value,Footprint,LCSC,Part,Manufacturer,Description,Datasheet/Listing
48,Extended - JLC Assembly,CN1,HC-1.25-2PWT,CONN-SMD_2P-P1.25-HC-1.25-2PWT,C2845379,HC-1.25-2PWT,HCTL(华灿天禄),,https://www.lcsc.com/datasheet/C2845379.pdf
49,Extended - JLC Assembly,LS1,SMT-0540-T-9-R,XDCR_SMT-0540-T-9-R,C3812059,SMT-0540-T-9-R,,,
50,Basic,Q2,AO3400A,Q_SOT-23,C20917,AO3400A,Alpha & Omega Semicon,"30V 5.7A 26.5mΩ@10V,5.7A 1.4W 1.5V@250uA 1 N-Channel SOT-23-3L MOSFETs ROHS",https://www.lcsc.com/datasheet/lcsc_datasheet_1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf
51,Basic,S1,RESET,SW_TS-1088-AR02016,C720477,TS-1088-AR02016,XUNPU,Without 50mA 4mm 100MΩ 100000 Times 12V 160gf 3mm 2mm Round Button Standing paste SPST SMD Tactile Switches ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088-AR02016_C720477.pdf
52,Basic,S2,BOOT,SW_TS-1088-AR02016,C720477,TS-1088-AR02016,XUNPU,Without 50mA 4mm 100MΩ 100000 Times 12V 160gf 3mm 2mm Round Button Standing paste SPST SMD Tactile Switches ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088-AR02016_C720477.pdf
53,Digikey,S4,BTN_A,SW_TS02-66-160-BK-160-LCR-D, ,TS02-66-160-BK-160-LCR-D,,,
54,Digikey,S5,BTN_B,SW_TS02-66-160-BK-160-LCR-D, ,TS02-66-160-BK-160-LCR-D,,,
55,Digikey,S6,BTN_C,SW_TS02-66-160-BK-160-LCR-D, ,TS02-66-160-BK-160-LCR-D,,,
56,Extended - Self Solder,S7,SLW-864574-5A-RA-N-D,SW_SLW-864574-5A-RA-N-D, ,TS02-66-160-BK-160-LCR-D,,,
57,Extended - JLC Assembly,J1,2171790001,2171790001_MOL,C3197684,,,,https://www.molex.com/en-us/products/part-detail-pdf/2171790001?display=pdf
58,Amazon,J2,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,,,,"Generic connector, single row, 01x08, script generated",
59,M2 Self-Tapping Flat Head Screws,,,,,,,,https://www.amazon.com/gp/product/B0CY986CCR/ref=ox_sc_act_title_1?smid=A149PLON3AQQ4N&psc=1
60,"1.54"" SPI TFT Display Module",,,,,,,,https://www.amazon.com/gp/product/B0DN9NMBFW/ref=ox_sc_act_title_4?smid=A1ASY00QOMN6RD&psc=1
61,LiPo Battery 3.7V 1.15Ah,,,,,,,,https://www.digikey.com/en/products/detail/jauch-quartz/LP384260JU-PCM-MOLEX-51021-0200-35MM/22528194
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
